antecedent_ids,antecedent_names,consequent_ids,consequent_names,support,confidence,lift,LHS,RHS
13139,Pure Peanut Oil,7879,"American Cheese, Pre-Sliced",0.0223,0.9866,44.2422,{13139},{7879}
"18545, 2393","Buttery Spread, Avocado & Olive Oil Super Potion Anti Frizz Binding Serum","31506, 34412","Extra Virgin Olive Oil, Big Bags with Double Zipper, XL",0.4005,0.8891,2.22,"{18545, 2393}","{31506, 34412}"
"30912, 6242","Original Decaf Medium Roast K-Cups, All Natural Boneless & Skinless Chicken Breasts Family Pack",1077,Security Super Plus Unscented Tampons,0.3054,0.7241,2.371,"{30912, 6242}",{1077}
"1926, 9009","2 In 1 Super Foam & Scrub Sponges, Fuji  Apples",40771,Salt and Pepper Cashews,0.4841,0.4445,0.9182,"{1926, 9009}",{40771}
"28666, 7879, 9694","Organic Vitality Snack Wild Raspberry, American Cheese, Pre-Sliced, Hickory Ham & Cheddar in a Croissant Crust","18545, 36354","Buttery Spread, Bourbon Vanilla & Tangerine Hair Texturizer",0.2787,0.8305,2.9799,"{28666, 7879, 9694}","{18545, 36354}"
27804,Spicy Kung Pao Noodle Bowl,"13863, 23805","Amazing Meal Chocolate Infusion Single, Peppered Turkey Bacon",0.0696,0.4167,5.9871,{27804},"{13863, 23805}"
483,"Clinical Strength Invisible Solid Deodorant, \""Constant Comment\"" Decaffeinated Black Tea Blend",46401,EAS Complete Chocolate Protein Powder,0.3975,0.8976,2.2581,{ 483},{46401}
"12785, 21185","Deluxe Original Cheddar Macaroni & Cheese Dinner, Roadhouse Pile High Pepperoni Pizza","33781, 6300","Pasta Sauce, Light & Lean Pasta & Veggie Bowl",0.1672,0.7459,4.4611,"{12785, 21185}","{33781, 6300}"
"15882, 24190, 34583","Passion Punch, In Light Syrup & Passion Fruit Juice Tropical Fruit, 100 Calorie Healthy Pop Kettle Corn Microwave Pop Corn","12101, 721","Black Truffle Flavored Olive Oil, Sweet Chai of Mine Chai Tea Bags",0.4537,0.6487,1.4298,"{15882, 24190, 34583}","{12101, 721}"
30384,Dark Caffe Verona Whole Bean Coffee,"18694, 44836","Mandarin and Seville Orange Jigger, Karia Chardonnay",0.3211,0.6686,2.0822,{30384},"{18694, 44836}"
27248,G-Series Rain Berry Thirst Quencher Sports Drink,32566,Dha Omega 3 Vitamin D Milk,0.0988,0.8635,8.7399,{27248},{32566}
"27163, 7771","Spicy Nacho Tortilla Chips, Gluten Free Hazelnut Wafer Bites","32165, 9217","Orange Unsweetened Soft Drink Mix, Cold Brew Coffee With Coconut Milk",0.0873,0.8704,9.9702,"{27163, 7771}","{32165, 9217}"
"44808, 45848, 702","Light Blackberry Yogurt, Greek Yogurt Indulgent Raspberry, Cheese Spread Port Wine",34165,Fat Free Half & Half,0.0992,0.3447,3.4748,"{44808, 45848, 702}",{34165}
"16150, 7671","Organic Seaweed Gomasio, Organic Yogurt Baby Food","24899, 46524","Spinach & Ricotta Tortelloni, Natural Peanut Butter Crunchy and Flaxseed",0.363,0.8481,2.3364,"{16150, 7671}","{24899, 46524}"
13286,Dairy Pure Fat Free Milk,"39568, 9217","Kick Ass Allergy, Cold Brew Coffee With Coconut Milk",0.4302,0.5466,1.2706,{13286},"{39568, 9217}"
"14586, 28750, 4500","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Extra Sharp Cheddar Cheese Chunk, Chimichanga Chicken & Cheese","27115, 27912","All-Natural Autumn Apple  Fruit Strip, California Blend Broccoli, Cauliflower & Carrots",0.08,0.9917,12.3963,"{14586, 28750, 4500}","{27115, 27912}"
"1924, 3638","Long Grain Rice, Organic Original Panko",7235,Stevia Plus Powder,0.0248,0.5744,23.1613,"{1924, 3638}",{7235}
"13718, 21278, 6049","Grape with Electrolytes & Vitamins Water Beverage, All Purpose Crushed Tomatoes, Wild Berry Organic Sparkling Energy Drink",32265,ForceFlex Drawstring Tall Kitchen Bags,0.3862,0.8923,2.3105,"{13718, 21278, 6049}",{32265}
29064,Black Cherry Water,8766,Delicious IPA,0.0115,0.3982,34.6261,{29064},{8766}
46664,Newtons 100% Whole Grain Blueberry Cookies,"1034, 9217","Medium Soup & Salad Containers + Lids, Cold Brew Coffee With Coconut Milk",0.335,0.9806,2.9272,{46664},"{1034, 9217}"
"15255, 44101, 6544","Fat Free Rich Milk Chocolate Hot Cocoa Mix, Passion Fruit Ginger Ale, Garlic Rosemary Citrus Sauce",18593,Hardwood Smoked Sliced Turkey Breast,0.4667,0.3807,0.8157,"{15255, 44101, 6544}",{18593}
17373,Almond Butter Mini Bar,"1732, 6049","Organic Peach Pear Blueberry Apple Avocado, Wild Berry Organic Sparkling Energy Drink",0.2722,0.9502,3.4908,{17373},"{1732, 6049}"
"11432, 36923","Chopped Kale, Trop50 No Pulp Orange Juice",6300,Light & Lean Pasta & Veggie Bowl,0.2843,0.6994,2.4601,"{11432, 36923}",{6300}
"18545, 23404","Buttery Spread, With Rice Gumbo Mix","12536, 13968","Colby & Monterey Jack Cheese Sticks 12 Count, Rustic Tomato Basil Sauce",0.4824,0.4951,1.0263,"{18545, 23404}","{12536, 13968}"
"32223, 702","For Baby Organic Baby Food Stage 2 Chicken With Chicken Gravy, Cheese Spread Port Wine",28442,Coronita Beer Extra,0.1788,0.6411,3.5856,"{32223, 702}",{28442}
"39511, 5172, 941","Baby Diaper Rash Ointment, Original Croccantini, Smoked Atlantic Nova Salmon","18281, 41872","Popped Dark Chocolate with Sea Salt Granola Bar, Herbal Tea, Organic Chamomile",0.1006,0.3013,2.995,"{39511, 5172, 941}","{18281, 41872}"
"13278, 45348","Hand Soap, Refill Size, French Lavender, Chillable Red House Wine","4581, 46111","McCormick Minced Onion, Pro V Shampoo & Conditioner 2 In 1 Classic Clean",0.3782,0.5721,1.5127,"{13278, 45348}","{4581, 46111}"
2606,Mr. Goodbar Milk Chocolate with Peanuts Candy Bar,"1440, 7771","Baby Dill, Gluten Free Hazelnut Wafer Bites",0.41,0.8906,2.1722,{2606},"{1440, 7771}"
"12536, 34165, 45814","Colby & Monterey Jack Cheese Sticks 12 Count, Fat Free Half & Half, Rose Foaming Face Wash","24789, 46257","Organic Cold Season Tea Bags, Protein Bar, High, Cookies & Cream",0.253,0.3062,1.2103,"{12536, 34165, 45814}","{24789, 46257}"
22896,Organic Triple G Choc Superfood Truffles,"15859, 45761","World Harbor Marinade Sriracha, Turkey Breast Thin Sliced Honey Roasted Deli Select",0.3944,0.731,1.8534,{22896},"{15859, 45761}"
"1924, 24620, 33926","Long Grain Rice, Gourmet Mexican Salsa New Mexico Red Chile, Adobo All Purpose Seasoning",46767,Robert Mondavi Pinot Grigio California 2013,0.1628,0.9897,6.0792,"{1924, 24620, 33926}",{46767}
"15770, 26554, 43833","Hot Dog Chili Sauce, Rigatoni With Chicken & Pesto, Organic Extra Thick Passata Rustica Puree",23404,With Rice Gumbo Mix,0.0865,0.8974,10.3746,"{15770, 26554, 43833}",{23404}
"24190, 2643","In Light Syrup & Passion Fruit Juice Tropical Fruit, Organic Bagged Kale Salad Mix","40903, 4479","2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food, Fair Trade Level 4",0.389,0.798,2.0514,"{24190, 2643}","{40903, 4479}"
46941,Provolone Slices,"17268, 7771","Original Potato Chips Triple Pack, Gluten Free Hazelnut Wafer Bites",0.0133,0.3542,26.6316,{46941},"{17268, 7771}"
"30258, 46068","Organic Peppermint Mints, Cinnamon Chips Baking Pieces",33376,Vanilla Wafer Cookies,0.461,0.6212,1.3475,"{30258, 46068}",{33376}
"15882, 45814","Passion Punch, Rose Foaming Face Wash","13278, 40462","Hand Soap, Refill Size, French Lavender, Cleanse",0.0386,0.5834,15.114,"{15882, 45814}","{13278, 40462}"
"12031, 17022, 1897","Taco Seasoning, No. 4, Elbows Pasta, Yukon Gold Potatoes Bag","24724, 41303","G Series Frost Rain Berry Flavor Sports Drink, Almond Breeze Reduced Sugar Vanilla Almondmilk",0.2003,0.3311,1.653,"{12031, 17022, 1897}","{24724, 41303}"
"31020, 36789","Organic Honey Grade A, UltimateCare Premium Liquid Bleach",13401,Valerian Extract,0.0977,0.3255,3.3316,"{31020, 36789}",{13401}
7771,Gluten Free Hazelnut Wafer Bites,28198,Rainbow Candy,0.3018,0.4735,1.5689,{7771},{28198}
8353,Organic Honey Bunch Grape Tomatoes,32825,RediTabs Non Drowsy Indoor & Outdoor 24 Hour Allergy Tablets,0.2423,0.5251,2.1671,{8353},{32825}
40903,2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food,"25037, 36675","Tortellini Primavera Parmesan Cafe Steamers, Kale Krunch, Organic, Southwest Ranch",0.2663,0.473,1.7762,{40903},"{25037, 36675}"
"46506, 6867","Taco Seasoned Beef & Cheese Extra Crunchy Taquitos, Lunchables Turkey & American Cheese Cracker Stackers","15198, 9009","Performance Protein Vanilla Powder, Fuji  Apples",0.0156,0.8648,55.4359,"{46506, 6867}","{15198, 9009}"
44518,Large Drawstring Trash Bags,"25989, 37785","Low Dose 81mg Enteric Coated Aspirin Tablets Pain Reliever, Peanut Satay Asian Cuisine",0.0435,0.8045,18.4943,{44518},"{25989, 37785}"
4883,Holiday Milk Chocolates,30369,Gluten Free Spinach And Cheese Ravioli,0.4924,0.474,0.9626,{4883},{30369}
"10133, 44836","Rockin Refuel Chocolate Protein Milk Beverage, Karia Chardonnay","47081, 8766","Pink Himalayan Salt Mill, Delicious IPA",0.2011,0.5898,2.9329,"{10133, 44836}","{47081, 8766}"
49218,Dough For Turnover Pastries Para Empanadas,3286,"9\"" OvenFresh Pie Plate",0.0881,0.5047,5.7287,{49218},{3286}
"12479, 41381, 4479","Regular Cardboard Applicator Unscented Tampons, Quaker Real Medleys Peach Apple Walnut Multigrain Cereal, Fair Trade Level 4","39640, 43281","Dark Chocolate with Cinnamon Cayenne  & Cherries, Organic Lemon Perfume Oil",0.1733,0.3052,1.7611,"{12479, 41381, 4479}","{39640, 43281}"
43145,Pinto Beans with Jalapeno Peppers,23624,Flatbread Pizza All Natural,0.2387,0.4434,1.8576,{43145},{23624}
"2668, 5533, 6049","Whips! Strawberry Mist Yogurt Mousse, Washing Machine Cleaner, Wild Berry Organic Sparkling Energy Drink","27804, 41303","Spicy Kung Pao Noodle Bowl, Almond Breeze Reduced Sugar Vanilla Almondmilk",0.0679,0.4417,6.5052,"{2668, 5533, 6049}","{27804, 41303}"
4479,Fair Trade Level 4,28711,Tamale Pepper Cheese 3 Pk,0.1509,0.3096,2.0517,{4479},{28711}
38564,Euphoric Ylang Ylang Mineral Bath,27083,Organic Coconut Aloe Water,0.3419,0.3733,1.0918,{38564},{27083}
"24328, 41999, 47512","Artichoke Spread, Cut Tulips (Choose Color), Lite Energy Drink","20464, 46941","Salted Almonds & Milk Chocolate 41% Cacao, Provolone Slices",0.2185,0.7878,3.6055,"{24328, 41999, 47512}","{20464, 46941}"
"1672, 24474, 5172","English Cucumbers, Cherry Lemon Green Tea Pouches 15 Count, Original Croccantini",24144,Constellation Tomatoes,0.1844,0.623,3.3785,"{1672, 24474, 5172}",{24144}
"10739, 12031","Classic Decaf Instant Coffee Crystals, Taco Seasoning, No. 4","32803, 5985","Regular Deodorant, Red Bell Peppers",0.2383,0.7383,3.0982,"{10739, 12031}","{32803, 5985}"
19119,No. 3 Organic Extra Virgin Olive Oil,15407,"Ecological All Purpose Cleaner, Natural Lemon Fragrance",0.1484,0.6587,4.4387,{19119},{15407}
"14388, 24821","Invisible Solid Outlast Completely Clean - 5.2 oz Twin, Wild Rose Deodorant Spray",38974,Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing,0.4127,0.9908,2.4008,"{14388, 24821}",{38974}
"13817, 24474, 8281","\""Im Pei-nut Butter\"" Double Chocolate Cookie & Peanut Butter Ice Cream, Cherry Lemon Green Tea Pouches 15 Count, Head of Lettuce",19626,Baby Brussel Sprouts,0.2917,0.5773,1.9791,"{13817, 24474, 8281}",{19626}
41601,All Profits To Charity Pineapple Salsa,45848,Greek Yogurt Indulgent Raspberry,0.2791,0.8539,3.0595,{41601},{45848}
"15198, 45761","Performance Protein Vanilla Powder, Turkey Breast Thin Sliced Honey Roasted Deli Select","34135, 41744","Home Style Mexican-Style Chicken Tortilla Soup, Organic Cacao Beans",0.0837,0.4165,4.9761,"{15198, 45761}","{34135, 41744}"
"10739, 15255, 27798","Classic Decaf Instant Coffee Crystals, Fat Free Rich Milk Chocolate Hot Cocoa Mix, Sage & Aloe Throat Shield Lozenges","40903, 43802","2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food, Organic Sweet Apple Chicken Sausage",0.4943,0.5597,1.1323,"{10739, 15255, 27798}","{40903, 43802}"
47020,Peanut Butter Pretzel Sandwiches,32265,ForceFlex Drawstring Tall Kitchen Bags,0.4638,0.9962,2.1479,{47020},{32265}
28886,Organic Orange,"4631, 47512","Lip Rescue with Eco - Harvest Tea Tree Oil, Lite Energy Drink",0.1843,0.8271,4.4878,{28886},"{4631, 47512}"
"13817, 26274","\""Im Pei-nut Butter\"" Double Chocolate Cookie & Peanut Butter Ice Cream, Dutch Apple Pie",1924,Long Grain Rice,0.2768,0.5164,1.8656,"{13817, 26274}",{1924}
"26345, 4581","Small/Medium Maximum Absorbency Women Underwear, McCormick Minced Onion",30912,Original Decaf Medium Roast K-Cups,0.1345,0.5011,3.7257,"{26345, 4581}",{30912}
"12536, 22896, 46068","Colby & Monterey Jack Cheese Sticks 12 Count, Organic Triple G Choc Superfood Truffles, Cinnamon Chips Baking Pieces","25037, 48476","Tortellini Primavera Parmesan Cafe Steamers, Tender Chicken & Stars Stage 3",0.0647,0.9654,14.9212,"{12536, 22896, 46068}","{25037, 48476}"
41739,Boneless Fried Chicken & Waffles,20172,Almond Goat's Milk Soap,0.3385,0.4822,1.4245,{41739},{20172}
"23027, 23918, 9694","Dominican Chocolate Bar, Fragrance Free Pure Olive Oil Soap Bars, Hickory Ham & Cheddar in a Croissant Crust",37496,Organic Deep Dark Sea Salt Chocolate,0.3359,0.4484,1.3349,"{23027, 23918, 9694}",{37496}
"15534, 22897","Lightly Salted Roasted Edamame, Chai Latte",13350,Vine Ripened Golden Berries,0.3329,0.6003,1.8032,"{15534, 22897}",{13350}
"26797, 40705","Drinkable Yogurt Starwberry, Complete Therapy Treatment Ovule Antifungal Cream","33294, 5615","Tortillas, Wheat Free, Sprouted Corn, White Miso Soup Mix",0.1729,0.603,3.4876,"{26797, 40705}","{33294, 5615}"
28666,Organic Vitality Snack Wild Raspberry,33294,"Tortillas, Wheat Free, Sprouted Corn",0.3981,0.461,1.158,{28666},{33294}
"1168, 30254, 48949","White Wine Winemaker's Blend California, 2010, Wild Pink Salmon, No Salt Added, Low Fat Strawberry Milk","1732, 34035","Organic Peach Pear Blueberry Apple Avocado, Hamburger Bun",0.2751,0.6487,2.3581,"{1168, 30254, 48949}","{1732, 34035}"
4405,Limited Moka Coaster Coffee Cocoa Brew,"13959, 24724","Swiss Fudge Cookies, G Series Frost Rain Berry Flavor Sports Drink",0.0694,0.7397,10.6585,{4405},"{13959, 24724}"
"17534, 26206, 2643","AFTER SHAVE CLASSIC, Pickled Red Cabbage, Organic Bagged Kale Salad Mix",24181,No Sugar Added Lemon & Cherry Flavor Real Italian Ice,0.2109,0.4805,2.2783,"{17534, 26206, 2643}",{24181}
"16666, 27798, 9217","Single Serve Donut Shop Coffee, 12 Count, Sage & Aloe Throat Shield Lozenges, Cold Brew Coffee With Coconut Milk",5400,Coconut Flavor,0.3687,0.9653,2.6181,"{16666, 27798, 9217}",{5400}
"12129, 12428, 33810","12 Oz Lager, Steam'ables Green Peas, Citrus Dish Soap",32825,RediTabs Non Drowsy Indoor & Outdoor 24 Hour Allergy Tablets,0.4603,0.6635,1.4415,"{12129, 12428, 33810}",{32825}
"11432, 16666, 19626","Chopped Kale, Single Serve Donut Shop Coffee, 12 Count, Baby Brussel Sprouts","20302, 21185","Quick Oats, Roadhouse Pile High Pepperoni Pizza",0.0636,0.5238,8.2358,"{11432, 16666, 19626}","{20302, 21185}"
"20172, 28583","Almond Goat's Milk Soap, Down East Olive Oil Crackers","26274, 38564","Dutch Apple Pie, Euphoric Ylang Ylang Mineral Bath",0.1249,0.5955,4.7678,"{20172, 28583}","{26274, 38564}"
"2714, 48669","Handi-Snacks Ritz Crackers 'n Cheese Dip, Ultra Thin Overnight Pads with Wings","30258, 46257","Organic Peppermint Mints, Protein Bar, High, Cookies & Cream",0.0864,0.3874,4.4838,"{2714, 48669}","{30258, 46257}"
"36923, 958","Trop50 No Pulp Orange Juice, Almond Extract",8683,Complete Battery Power Toothbrush,0.2397,0.3326,1.3876,"{36923, 958}",{8683}
"2668, 3286, 38036","Whips! Strawberry Mist Yogurt Mousse, 9\"" OvenFresh Pie Plate, Toasted Sesame Water Crackers",23513,Relaxing Lavender Mineral Bath,0.0154,0.4194,27.2338,"{2668, 3286, 38036}",{23513}
41601,All Profits To Charity Pineapple Salsa,"5985, 7235","Red Bell Peppers, Stevia Plus Powder",0.0491,0.6761,13.7699,{41601},"{5985, 7235}"
"42979, 4603, 48448","Four Star Collection Entertainment Crackers, Organic Emerald Matcha Whole Leaf Tea, Dates",23513,Relaxing Lavender Mineral Bath,0.0677,0.3629,5.3604,"{42979, 4603, 48448}",{23513}
"20312, 37500","Ultra Thin Crust Cheese Lovers Pizza, Fresh Cut Sliced Beets","22896, 37555","Organic Triple G Choc Superfood Truffles, Oatmeal Cranberry Place & Bake Cookie Dough",0.3518,0.3833,1.0895,"{20312, 37500}","{22896, 37555}"
29125,Bac-Out Stain & Odor Remover,28375,Natural Cedar Scent Toilet Cleaner,0.2039,0.771,3.7813,{29125},{28375}
"24724, 46800","G Series Frost Rain Berry Flavor Sports Drink, Cheesy Scalloped Potatoes","24607, 32566","Artichoke & Parmesan Dip, Dha Omega 3 Vitamin D Milk",0.0253,0.5059,19.996,"{24724, 46800}","{24607, 32566}"
"18703, 4854","Pure Doctor Kombucha, Cheese Creations Creamy Tomato Cheese Sauce",2714,Handi-Snacks Ritz Crackers 'n Cheese Dip,0.3424,0.3841,1.1218,"{18703, 4854}",{2714}
3735,Specialties Garlic Stuffed Queen Olives,"33632, 42287","Reduced Fat Pepper Jack  Cheese, Organic Pumpkin Flax Granola",0.3446,0.6743,1.9568,{3735},"{33632, 42287}"
"15770, 25080, 36781","Hot Dog Chili Sauce, Ale, Not Quite Pale, No. 9, Poppy Thyme Crackers",29303,Pink Pearl Medium Rubber Eraser,0.2215,0.9708,4.3828,"{15770, 25080, 36781}",{29303}
"15913, 26021","Ranch Veggie Dip, Caramel Nut Brownie","19276, 41381","Whole Nutmeg, Quaker Real Medleys Peach Apple Walnut Multigrain Cereal",0.2189,0.4093,1.8698,"{15913, 26021}","{19276, 41381}"
"33453, 49254","V-Fusion Fruit Punch Vegetable & Fruit Beverage, Single Donut","3188, 8281","Chayote, Head of Lettuce",0.4315,0.9934,2.3022,"{33453, 49254}","{3188, 8281}"
"27798, 4854, 7307","Sage & Aloe Throat Shield Lozenges, Cheese Creations Creamy Tomato Cheese Sauce, Sweet & Sour Chicken With Vegetables",483,"\""Constant Comment\"" Decaffeinated Black Tea Blend",0.1287,0.8608,6.6884,"{27798, 4854, 7307}",{483}
"22027, 32594","Miso, Red, Celery Ground Spice","29370, 33453","Organic White Cheddar Popcorn, V-Fusion Fruit Punch Vegetable & Fruit Beverage",0.066,0.7493,11.353,"{22027, 32594}","{29370, 33453}"
"36047, 7829","Los Osos Merlot, Organic Protein Vanilla Smoothie","22897, 29303","Chai Latte, Pink Pearl Medium Rubber Eraser",0.0502,0.8997,17.9223,"{36047, 7829}","{22897, 29303}"
1897,Yukon Gold Potatoes Bag,"48158, 6049","Blackberry Graham Soft-Baked Cereal Bars, Wild Berry Organic Sparkling Energy Drink",0.2399,0.3359,1.4002,{1897},"{48158, 6049}"
8828,Fine Yolk Free Noodles,"18593, 23000","Hardwood Smoked Sliced Turkey Breast, Professional Men's 3 In 1 Citrus Rush Shampoo + Conditioner + Bodywash",0.2586,0.7773,3.0058,{8828},"{18593, 23000}"
"14388,  2562","Invisible Solid Outlast Completely Clean - 5.2 oz Twin, Clinical Strength Invisible Solid Deodorant, Quick & Easy Steel Cut Irish Oatmeal",4553,Exfoliating Renewal Wet Cleansing Towelettes,0.3746,0.7512,2.0053,"{14388,  2562}",{4553}
"30369, 31250","Gluten Free Spinach And Cheese Ravioli, Apples Honeycrisp",13350,Vine Ripened Golden Berries,0.2854,0.5651,1.98,"{30369, 31250}",{13350}
"24474, 5533","Cherry Lemon Green Tea Pouches 15 Count, Washing Machine Cleaner",43337,Pomegranate with Blueberry 100% Juice,0.303,0.6425,2.1205,"{24474, 5533}",{43337}
"3638, 38036","Organic Original Panko, Toasted Sesame Water Crackers",20171,White Bread,0.4005,0.6032,1.5061,"{3638, 38036}",{20171}
"28711, 29590, 9694","Tamale Pepper Cheese 3 Pk, Tomato Chicken Bouillon Cubes, Hickory Ham & Cheddar in a Croissant Crust",35206,Whitening Plus Scope Crest Complete Whitening + Scope Multi-Benefit Minty Fresh Striped Toothpaste 6.2oz Dentifrice,0.0192,0.5281,27.5052,"{28711, 29590, 9694}",{35206}
"12428, 12536, 43145","Steam'ables Green Peas, Colby & Monterey Jack Cheese Sticks 12 Count, Pinto Beans with Jalapeno Peppers",7996,Grenache Varietal Red Wine Vinegar,0.2797,0.4583,1.6385,"{12428, 12536, 43145}",{7996}
"28546, 30384","Hello Kitty Fruit Flavored Snacks, Dark Caffe Verona Whole Bean Coffee",41601,"Clinical Strength Invisible Solid Deodorant, All Profits To Charity Pineapple Salsa",0.1352,0.9586,7.0902,"{28546, 30384}",{ 41601}
"31452, 3188","Grape Cranberry Juice Cocktail, Chayote",46800,Cheesy Scalloped Potatoes,0.1827,0.9008,4.9305,"{31452, 3188}",{46800}
"29370, 41453, 45814","Organic White Cheddar Popcorn, Eggo Buttermilk Pancakes, Rose Foaming Face Wash","18613, 5400","Light Southwestern Style Vegetable Soup, Coconut Flavor",0.4864,0.4096,0.8421,"{29370, 41453, 45814}","{18613, 5400}"
"27804, 37496","Spicy Kung Pao Noodle Bowl, Organic Deep Dark Sea Salt Chocolate",12129,12 Oz Lager,0.2095,0.3631,1.7332,"{27804, 37496}",{12129}
"11325, 37500, 37854","Organic Hemp Plus Granola, Fresh Cut Sliced Beets, Berry Medley Oatmeal",26254,"Corn Snack, Hot Chili Pepper & Lime, Takis",0.1485,0.9463,6.3724,"{11325, 37500, 37854}",{26254}
"21639, 45880, 47512","Cool Mint Wintergreen Toothpaste, Stuffed Clams, Lite Energy Drink",29590,Tomato Chicken Bouillon Cubes,0.2996,0.3169,1.0577,"{21639, 45880, 47512}",{29590}
13278,"Hand Soap, Refill Size, French Lavender",24974,Caramel Custard Yogurt,0.459,0.8942,1.9481,{13278},{24974}
"24554, 30295, 8653","Bars, Slim, Raspberry Truffle, Vegan, Bars, Gluten Free, Box, Pork & Beans, Daisy Cutter Pale Ale","22951, 45007","Potato Hot Dog Bun, Organic Zucchini",0.4637,0.3332,0.7186,"{24554, 30295, 8653}","{22951, 45007}"
"24899, 33453","Spinach & Ricotta Tortelloni, V-Fusion Fruit Punch Vegetable & Fruit Beverage","15859, 1897","World Harbor Marinade Sriracha, Yukon Gold Potatoes Bag",0.0579,0.6196,10.7012,"{24899, 33453}","{15859, 1897}"
15534,Lightly Salted Roasted Edamame,"34400, 4669","Chutney, Major Grey Mango, Pure Rewards Beef Jerky Bits Dog Treats",0.0199,0.5591,28.0955,{15534},"{34400, 4669}"
"10503, 21495","U Ultra Overnight With Wings Pads, Extra Extra Dry Ultra Fresh",48872,Every Man's One Daily Multivitamin,0.2828,0.6036,2.1344,"{10503, 21495}",{48872}
"33376, 46546, 49218","Vanilla Wafer Cookies, Cocoa Butter Formula® Moisturizing Body Lotion, Dough For Turnover Pastries Para Empanadas","23020, 41601","Diet Tonic Water, All Profits To Charity Pineapple Salsa",0.2777,0.5,1.8005,"{33376, 46546, 49218}","{23020, 41601}"
"43337, 6833","Pomegranate with Blueberry 100% Juice, Udo's Choice Super 8 Probiotic Capsules","34353, 4500","Eco Chic Technology Tea Tree Triple Treat Conditioner for All Hair Types, Chimichanga Chicken & Cheese",0.4451,0.3774,0.8479,"{43337, 6833}","{34353, 4500}"
"13278, 23805","Hand Soap, Refill Size, French Lavender, Peppered Turkey Bacon",6880,for Tots Apple White Grape Juice,0.4695,0.4294,0.9146,"{13278, 23805}",{6880}
"23624, 48872","Flatbread Pizza All Natural, Every Man's One Daily Multivitamin","18723, 702","Sterile Gauze Pads, Cheese Spread Port Wine",0.0161,0.9821,61,"{23624, 48872}","{18723, 702}"
"24132, 30278, 5400","Pure Life Splash Wild Berry Flavored Water, Organic Caesar Complete Salad Kit, Coconut Flavor","20950, 4631","Digestive Advantage Probiotic Fruit Gummies, Lip Rescue with Eco - Harvest Tea Tree Oil",0.1138,0.7999,7.029,"{24132, 30278, 5400}","{20950, 4631}"
"17740, 1897, 4603","Tortillas, Flour, Yukon Gold Potatoes Bag, Organic Emerald Matcha Whole Leaf Tea","3638, 6039","Organic Original Panko, Chromium Picolinate - 500mcg",0.2599,0.7324,2.818,"{17740, 1897, 4603}","{3638, 6039}"
2564,100% Tomato Juice,6300,Light & Lean Pasta & Veggie Bowl,0.3999,0.5692,1.4234,{2564},{6300}
"23000, 46069","Professional Men's 3 In 1 Citrus Rush Shampoo + Conditioner + Bodywash, Supergreens!",24132,Pure Life Splash Wild Berry Flavored Water,0.4919,0.4997,1.0159,"{23000, 46069}",{24132}
"2248, 43793, 46069","Variety Pack Granola Bars, Calendula with Beeswax & Sunflower Zinc Oxide Diaper Cream, Supergreens!","7235, 941","Stevia Plus Powder, Smoked Atlantic Nova Salmon",0.184,0.8813,4.7897,"{2248, 43793, 46069}","{7235, 941}"
38988,White English Muffins,24181,No Sugar Added Lemon & Cherry Flavor Real Italian Ice,0.0113,0.9582,84.7965,{38988},{24181}
"46524, 7235","Natural Peanut Butter Crunchy and Flaxseed, Stevia Plus Powder","39146, 4063","Original Flax Milk, Turkey Ham",0.1992,0.9559,4.7987,"{46524, 7235}","{39146, 4063}"
"2643, 37500, 41916","Organic Bagged Kale Salad Mix, Fresh Cut Sliced Beets, Barrel Aged Sriracha",34035,Hamburger Bun,0.255,0.4001,1.569,"{2643, 37500, 41916}",{34035}
"1077, 6867","Security Super Plus Unscented Tampons, Lunchables Turkey & American Cheese Cracker Stackers",33632,Reduced Fat Pepper Jack  Cheese,0.2365,0.9697,4.1002,"{1077, 6867}",{33632}
"43793, 44199","Calendula with Beeswax & Sunflower Zinc Oxide Diaper Cream, Toll House Mini Chocolate Chip Cookie Dough",4631,Lip Rescue with Eco - Harvest Tea Tree Oil,0.2001,0.7214,3.6052,"{43793, 44199}",{4631}
"48839, 5985, 6833","Buffalo Chicken Slow Cooker Sauces, Red Bell Peppers, Udo's Choice Super 8 Probiotic Capsules","26554, 47468","Rigatoni With Chicken & Pesto, Hot Enough Hummus",0.4098,0.9457,2.3077,"{48839, 5985, 6833}","{26554, 47468}"
4231,Advanced Haircare Color Vibrancy Conditioner,22027,"Miso, Red",0.4977,0.3541,0.7115,{4231},{22027}
"27688, 33632","Original Pops, Reduced Fat Pepper Jack  Cheese",7235,Stevia Plus Powder,0.2171,0.3997,1.8411,"{27688, 33632}",{7235}
"17534, 24190, 44109","AFTER SHAVE CLASSIC, In Light Syrup & Passion Fruit Juice Tropical Fruit, Chickpea Snacks Habanero Medium Spicy","39640, 4379","Dark Chocolate with Cinnamon Cayenne  & Cherries, Tandoori Chicken Samosa",0.0595,0.5039,8.4689,"{17534, 24190, 44109}","{39640, 4379}"
